TID	WORD2	LEN2
13475	Vergil's	8
10736	phoniest	8
5136	goldbricking	12
18970	Espinoza	8
7923	plexus's	8
20777	dealer	6
3192	upbraid	7
11023	Izanami's	9
2065	cake's	6
20571	Sheena	6
19003	dominance	9
1916	Roy's	5
4580	infarction's	12
8310	EST's	5
21186	ringer's	8
896	stateside	9
8288	Bragg	5
24976	preaches	8
18163	Robson	6
20022	supers	6
21334	dropout's	9
6934	yucca	5
4508	revitalizing	12
21546	Borneo	6
3038	crabs	5
23835	bagpipe	7
214	opined	6
6683	scherzo's	9
18425	shah	4
22606	ripostes	8
18738	disorderliness	14
10299	kerosene	8
12673	spitefuller	11
2824	seafaring's	11
23357	demagogs	8
4416	pumpkin's	9
14644	sucker's	8
19278	Pennsylvanian's	15
22670	aquaplane's	11
17855	basted	6
16530	appendices	10
5822	baronesses	10
13809	tweet's	7
9740	imperialism	11
5399	stipulating	11
17661	bushel's	8
23251	adjusted	8
14212	deputies	8
22933	moonshot's	10
7700	trustiest	9
11410	differentiated	14
22055	vibrato's	9
24438	vertebral	9
10188	rivals	6
20190	italics's	9
18293	nincompoop's	12
10124	invoking	8
16750	hosted	6
6893	incremental	11
14728	stuffily	8
24591	carports	8
21993	unpainted	9
2181	intelligibility's	17
14599	demonstrated	12
3681	congestive	10
1376	jalopy's	8
15744	foliage	7
5548	cowering	8
7524	Krupp	5
20265	intersected	11
13813	divorcée	8
21081	dogmatic	8
6573	zombi	5
3559	banjo	5
14951	menial	6
24125	stir's	6
24448	Shepard	7
22967	mugging's	9
12061	irrational's	12
23408	mohair's	8
24744	lifetime	8
11519	tight	5
6085	forgery's	9
17011	uniting	7
7391	impecuniousness's	17
13563	annotate	8
369	Rhine	5
17813	morbid	6
23337	Barbadian's	11
20369	oxygenated	10
22438	Bhutto	6
24714	Pompadour	9
692	underwriter's	13
11089	twirled	7
91	varnishing	10
9610	afghan's	8
2496	sidestroke	10
8377	commentators	12
14346	safariing	9
2203	urbanization	12
4861	combinations	12
17736	delectable	10
6553	statures	8
24550	coarsen	7
19160	agnostic	8
1857	flimsiness	10
4283	tit	3
4014	aren't	6
19482	rite	4
17236	underpaying	11
19209	slither	7
22049	disquiets	9
87	repartee	8
12691	unleashes	9
20192	tossups	7
8580	snugs	5
7536	papoose's	9
6788	landscape's	11
22310	sharpness	9
22507	Adkins	6
4984	bedpan	6
14547	Newfoundland's	14
5809	individualist's	15
10359	McGuffey	8
330	reinserted	10
14283	Nahuatl	7
9217	spinster	8
1289	geisha	6
5457	floodlighted	12
6624	piing	5
5940	Haleakala	9
13077	mace	4
22432	toenail	7
10777	wiring	6
23560	pronounces	10
3256	disenchanting	13
8658	drywall's	9
13008	autos	5
8400	Randal's	8
3667	blustery	8
12230	aloha	5
20190	ghost's	7
23554	other	5
24099	discrimination's	16
8090	hoopla	6
8709	suppler	7
21326	Demeter's	9
24139	verdure	7
9802	dismissal	9
8617	spinnakers	10
14560	Doreen's	8
3997	hoagies	7
24601	Soto's	6
11651	marts	5
6142	eminently	9
15315	metallic	8
6765	George	6
8895	intersects	10
8820	frustrate	9
7002	porcine	7
13579	separable	9
471	skinhead	8
19578	Nebraskans	10
19096	vim's	5
222	precocity's	11
7564	accolades	9
22684	colleague	9
11862	merriest	8
8874	spleen	6
9956	sleeves	7
318	rustic	6
16187	frankincense	12
8395	shackles	8
14611	tinderboxes	11
20084	injected	8
23052	Cologne	7
15843	sued	4
3520	beleaguer	9
4079	cosy	4
17411	Jannie's	8
2877	jujutsu	7
18130	candlesticks	12
12931	Hopi	4
23808	candlelight's	13
14092	Clive	5
7777	gourmet's	9
7640	rider	5
24537	Megan's	7
6766	forestalls	10
5533	chandelier's	12
24180	regaling	8
4132	blander	7
23932	everyday	8
1965	barrow	6
9731	Goa	3
12945	Collin's	8
7015	Thanksgiving's	14
23638	federation's	12
2556	reprehensibly	13
21594	mother	6
9766	potluck's	9
12235	Chernenko	9
22232	mussels	7
5262	Baxter	6
11023	Tammie	6
20006	squigglier	10
10877	subjoined	9
3310	anode's	7
1206	talismans	9
11751	zodiac	6
9830	Saroyan's	9
20258	mighty	6
20164	acolyte's	9
14612	wolfhound's	11
12930	reveler's	9
17504	parsimonious	12
24770	Ionics	6
11778	exacting	8
20723	harpy	5
19347	Walker's	8
5688	admixture's	11
4979	unfamiliar	10
17639	behavioral	10
15199	torn	4
6585	Ortega's	8
5572	beet's	6
8011	hankering	9
18947	ginkgo's	8
20958	jasper's	8
19902	overreached	11
8215	agglutinating	13
15611	pussycats	9
9635	joist	5
8407	cautionary	10
818	urinate	7
22478	pureness's	10
17650	filings	7
15071	reduce	6
14604	multiplicand's	14
9716	townhouses	10
15581	spud's	6
15320	herringbone	11
17838	remorsefully	12
4396	gill	4
431	illumine	8
21923	masquerader	11
4306	erudition's	11
19683	Rushmore's	10
6163	legume's	8
14981	philosophy's	12
9817	branch's	8
23983	Narnia's	8
6923	instant's	9
17064	incisions	9
22971	cellos	6
11208	bullfighter	11
24325	justest	7
18105	billings	8
10803	queerly	7
4121	coveralls	9
6703	desisted	8
10143	limousine's	11
22958	grumpy	6
1232	privileged	10
15622	commissaries	12
15591	clamp	5
4645	edification's	13
23522	digits	6
11520	sterilizer's	12
21028	bangle	6
5205	repossessing	12
374	libertarian	11
13011	unwraps	7
5556	Earle's	7
5589	devices	7
9973	enliven	7
17781	flange's	8
1566	Liechtenstein's	15
6118	slang	5
18315	nave	4
4224	necromancy's	12
19749	foregather	10
5598	anguish's	9
4139	conduct	7
17034	ligatures	9
15004	attic	5
23339	extravert	9
18138	participant	11
20821	dick's	6
24361	quitting	8
13803	surliness's	11
1956	fallibly	8
22086	splaying	8
16998	Beth	4
7695	complainant's	13
2078	guillotining	12
17843	balloon	7
21360	demarcates	10
1128	lopsidedly	10
14985	sufficiently	12
6755	Rubaiyat's	10
5292	genomes	7
488	translation	11
6799	circle's	8
12699	buoy's	6
11186	elixir's	8
674	Lao	3
21758	vomit	5
14001	Moll's	6
17385	companionship's	15
2503	Indonesian's	12
17313	Ashkhabad	9
22196	squirt	6
6024	enormity	8
15489	derelicts	9
22566	numerals	8
5299	peter's	7
10879	mounted	7
17489	cob's	5
4118	mouse's	7
18114	spunk's	7
3793	Devi	4
21991	unwashed	8
13263	expostulates	12
6677	overlapping	11
9186	Clairol	7
11501	spiraeas	8
22341	realm's	7
5850	affronted	9
2553	ashcan	6
7831	exactest	8
23391	lambent	7
7973	coefficient	11
7120	swampiest	9
22722	Lara's	6
1338	trombonist	10
2590	answers	7
4464	leviathan's	11
16035	conferring	10
16669	hummingbird's	13
5339	processes	9
6510	ascent's	8
23917	Quechua's	9
4337	normalcy	8
17915	acceptable	10
8485	missed	6
16064	rhomboid's	10
8365	Campos	6
2250	Aristotle's	11
471	Bowditch's	10
23102	garrulity	9
17058	ensnaring	9
15768	kowtowed	8
2341	helpers	7
17497	flakiness	9
24951	pewter	6
966	businesswoman	13
2662	Seneca	6
14827	ID's	4
11196	precluded	9
7683	carafes	7
12287	assignation	11
12424	scintillas	10
7910	otters	6
23365	weavers	7
4557	Dracula's	9
14033	mule's	6
2078	rivulet	7
16985	Vila's	6
12953	blinked	7
15432	appeasement's	13
23677	antennas	8
4332	matt	4
23928	desecrates	10
18788	Kwanzaa	7
16026	parallel's	10
7794	commoner's	10
13685	obverse's	9
9311	mimeographing	13
14620	scollops	8
534	counsel	7
20036	ablative	8
16507	tangoing	8
7901	Chandragupta	12
13652	sociably	8
17105	zenith	6
5154	diadem's	8
1623	forgo	5
16095	maleness	8
13418	believing	9
17072	loan's	6
14917	lapel	5
14571	oppressors	10
23046	Amway	5
17767	mirror's	8
3637	trawl's	7
11601	idled	5
2663	parvenu's	9
17335	any	3
17425	scooted	7
11404	varlet's	8
20700	souvenir's	10
4518	carving	7
3796	falsehoods	10
21898	patronize	9
7198	wiped	5
24976	nutshell	8
21041	arcade	6
10665	maturely	8
8347	ferrule	7
10107	truant	6
18538	ricochetting	12
22720	ungentlemanly	13
4185	enhancements	12
15600	Shiloh's	8
7639	Lome's	6
14136	doodles	7
12695	stubby	6
8153	lecher	6
13092	Albee	5
13515	rackets	7
9664	simultaneously	14
21299	instigating	11
7595	tortoiseshell	13
22249	norm's	6
5790	scrubbier	9
1870	poinsettia	10
17361	stiles	6
20747	boldly	6
18074	backlog's	9
13135	principally	11
6885	Guatemalan's	12
9249	analytic	8
23325	Argus's	7
12527	maxing	6
21369	tragicomedy	11
17291	jazzier	7
6737	assets	6
19231	Jerold	6
12661	charismatics	12
12389	intonation's	12
5276	unreasonably	12
9091	moussing	8
18571	mollusc	7
245	pedometer's	11
24747	Hayden's	8
19528	carburetor's	12
5979	decontaminates	14
12015	holidayed	9
13501	shifty	6
22485	salsas	6
9923	stringency's	12
1138	Weller's	8
9768	variability's	13
15665	reneges	7
1977	Luxembourg's	12
15580	asbestos's	10
19135	inconspicuousness's	19
21051	Henri	5
16118	fixedly	7
9492	midday	6
4988	psychiatrists	13
20376	naivety	7
6656	Tampa	5
1184	Fisher	6
7138	ostracize	9
13979	cleats	6
17681	Garfield	8
1192	elongation's	12
443	traveling	9
15741	upheld	6
5471	wheelchairs	11
24346	dregs's	7
3283	wanner	6
22595	drizzle	7
22793	dermatologist's	15
10392	Hinduism	8
13199	phylum's	8
8958	mitigating	10
20600	Capri	5
24298	string's	8
7387	communications	14
18797	Maccabeus	9
4605	bugaboo's	9
3332	nimble	6
19647	advancing	9
17392	reviewed	8
16023	logging	7
24266	Ottawas	7
7107	alpha's	7
1750	discretionary	13
20165	Grus's	6
13300	flagship	8
21293	sportscast's	12
13654	Glenda	6
848	timbering	9
16464	victory	7
14312	doctor	6
14472	overwrites	10
13743	noncommercial	13
3410	pallbearer's	12
21293	candelabrum	11
18541	paydays	7
3674	Ramiro	6
15906	clarinettists	13
4969	bunkers	7
5546	guzzler's	9
24258	grease	6
23413	Hadar's	7
716	computer	8
22206	bilge	5
5989	Schick's	8
5551	Holocaust	9
4357	naturalistic	12
16254	Qiqihar's	9
16714	congeals	8
18806	political	9
11052	muffin	6
20257	costed	6
346	render's	8
39	panickiest	10
5873	optimal	7
5807	Neogene	7
13163	yttrium's	9
4867	exonerating	11
13197	shyster's	9
16573	meadow's	8
12273	someone	7
2730	got	3
9695	called	6
9505	contracting	11
14071	sear's	6
11060	oxidizer	8
6621	Sivan's	7
5167	genitalia	9
22687	expected	8
18071	Taine	5
13919	Pygmy	5
5806	pealed	6
3233	technical	9
17684	vocalization	12
1573	reinterpretation	16
19402	plenteous	9
23939	Kalmyk	6
8348	flay	4
20888	mastering	9
9560	eternity	8
4893	spangle	7
11963	brownie	7
9199	contortion's	12
13957	Little	6
2941	saucer	6
2861	raincoats	9
24408	any	3
8329	Pogo	4
6194	cockney	7
19141	Vince	5
1033	adieu	5
3946	saunaing	8
5951	dander's	8
15420	Liston's	8
24584	zestful	7
11725	enthusiasm's	12
13650	lipid	5
7719	warmonger	9
6546	blonder	7
3698	duding	6
21674	resubmitted	11
23133	veterinarian's	14
2560	reneging	8
10422	chieftain	9
941	CompuServe's	12
3357	apostasy	8
15272	good's	6
21962	madrigal	8
2022	accusatory	10
11066	Tampax's	8
1489	asylum's	8
23604	surfs	5
18513	dared	5
2201	pyromania's	11
22803	iguana	6
15163	rhapsody	8
3856	sequentially	12
2876	innermost	9
16886	foregrounding	13
24071	rife	4
2588	Hunter's	8
18282	peek's	6
3224	schlep's	8
17304	aquiculture	11
21482	Delibes	7
6539	MVP's	5
13882	detracting	10
12836	unpopularity's	14
659	caste's	7
644	ratify	6
18702	Tonya's	7
10545	grimace's	9
4714	abstained	9
13902	rebroadcasting	14
374	sundries's	10
15585	prejudgments	12
11362	plaza	5
16587	twain's	7
20629	effective	9
17073	bedded	6
14637	defies	6
9873	digitization	12
8856	writhe's	8
21947	brunches	8
18376	cruisers	8
17384	pigment	7
7235	followings	10
22902	bedevils	8
5847	Brut	4
22989	synapse	7
1065	rollicked	9
1041	dustpan's	9
14820	revaluation	11
20842	world	5
6748	gorge's	7
14873	Epson	5
21882	stylishness	11
13066	jumpsuits	9
10400	sticklers	9
4051	stylistic	9
22697	disciplinarian	14
21784	tradesmen	9
21979	Hansen	6
13171	scanter	7
4963	bower's	7
10709	disfavor's	10
14478	mimeographs	11
23277	hectic	6
14354	findings	8
14391	Levant's	8
5797	jut's	5
24328	discommodes	11
15504	Thespis	7
17916	housefly's	10
8073	smoulders	9
1891	sheepdog	8
21247	Ubangi	6
11729	swapped	7
7252	lubricator	10
20008	egghead	7
19196	jointed	7
6212	thingamajig's	13
5021	dreadnoughts	12
18017	silhouetting	12
3266	farces	6
17127	aristocracies	13
11866	Salvadoran's	12
6368	immortality	11
7186	supplicating	12
20223	captive	7
20071	conch's	7
10270	deodorizer's	12
10447	incinerator	11
19166	toolbox's	9
3802	caddy	5
14440	earthy	6
22542	expounds	8
10605	thoroughbreds	13
10135	straighter	10
16502	crusade's	9
18322	Tawney	6
13072	smithy	6
20321	triathlons	10
8559	overdosed	9
4610	eclipses	8
15261	traumatizes	11
7067	macerated	9
20263	tossup's	8
66	reoccurring	11
22611	watchbands	10
10232	dig	3
5239	probating	9
21461	encumbers	9
4332	ASL's	5
17470	inmost	6
3325	stifles	7
14996	Napoleon	8
9322	departmentalized	16
12906	pursuer	7
6156	departmentalizes	16
12334	rococo	6
20971	restfully	9
10881	thug	4
5623	Zoroastrianisms	15
5893	beefed	6
24888	debates	7
14071	hireling's	10
7333	Dixiecrat	9
24387	intruder	8
14276	dissimulating	13
16503	demoed	6
24833	overturns	9
7491	Julia's	7
2704	bowled	6
15549	hooey's	7
12774	laughingstock	13
10886	foothill	8
24437	deteriorate	11
2862	rebels	6
16004	outhouses	9
10442	recommendations	15
1096	sirup's	7
21681	diversity's	11
10091	landed	6
14674	cunnilingus	11
19977	Ezekiel	7
18869	rickshaw's	10
15324	Jarrett	7
10267	father's	8
12090	pedant's	8
20529	mulch	5
12727	riskier	7
3473	coincidental	12
16520	glossier	8
11558	murmur's	8
4824	Bellini	7
22967	sprout	6
11945	respectability	14
19823	immorality's	12
22227	terrapin	8
6325	Novokuznetsk	12
23348	chive	5
3076	retorting	9
16622	emit	4
13987	philanders	10
11001	Thomas	6
12567	afterlives	10
11895	proselytizing	13
24096	ills	4
690	riboflavin	10
2829	allegiance	10
14723	socialism	9
5876	continued	9
14483	overdose's	10
6416	television	10
13703	voices	6
2364	president	9
4232	wilier	6
1038	menopausal	10
22720	alkaloids	9
10755	blogging	8
14882	unaccountable	13
21460	taught	6
10846	complexity	10
13173	impudence's	11
11302	wisher	6
11153	saviour	7
11862	rapport's	9
11550	weightlifting	13
20035	senselessness	13
6208	Pfizer	6
23223	embody	6
20240	grapefruit	10
22571	barnstorms	10
7411	Stolypin	8
8539	accursed	8
13573	tussle's	8
2296	fielders	8
6095	Haley	5
7216	armory	6
18489	loonier	7
9382	Budweiser	9
2771	hiding's	8
7541	pause's	7
6182	morphology	10
24710	timidity's	10
14285	airs	4
20886	constitutional	14
11865	despatched	10
19938	outlives	8
4771	pleasantest	11
23380	Kurdish's	9
16395	chorus	6
1719	embarkations	12
4783	foundlings	10
3585	drunkenness's	13
19301	mauve	5
3377	uncouth	7
18940	unity	5
13172	homophones	10
7551	suspense's	10
19810	bellboy's	9
19857	Alston	6
3800	Cayenne	7
19992	methodical	10
10360	knelled	7
6918	grunting	8
22510	deformed	8
22743	stalwarts	9
14589	grandiloquence's	16
11741	Olson	5
13860	dune's	6
324	Messiaen	8
20385	knack	5
10710	dieting	7
3164	Jekyll's	8
5359	arm's	5
2372	Lollard	7
20323	project	7
23319	speedster	9
2533	spiritually	11
20460	fiancé	6
2115	maize	5
1172	Dorsey	6
16919	zeppelins	9
10181	Bernardo	8
13231	Lamont's	8
23242	disrupted	9
109	Sprint	6
12300	pointlessness's	15
14379	overcoats	9
21014	sugarcoats	10
1655	curlycue's	10
24700	manipulations	13
9353	fervor's	8
24059	amortizes	9
10662	boards	6
2989	awkwardness	11
19233	vocabulary's	12
13048	nonexempt	9
12531	Dis	3
18579	purports	8
7058	powdered	8
5117	courtyards	10
8165	abductions	10
20942	holocaust	9
11152	haircuts	8
13803	palliation's	12
4839	cadre's	7
20310	nemesis's	9
21301	Tamera's	8
7616	monorail	8
21176	fallow's	8
3136	compendiums	11
20192	militates	9
13566	imperialist	11
5330	kickbacks	9
11680	Plantagenet's	13
15917	squirt's	8
9407	ill	3
22631	Bessemer's	10
23927	Liston	6
24930	peahen	6
21788	epistolary	10
893	benzene	7
15212	annual	6
20975	Roumania's	10
17483	westernized	11
4063	myopia	6
19492	roughhoused	11
12293	hindsight	9
5731	hates	5
12471	lofted	6
969	exhort	6
9288	Kahlua	6
17877	cognition	9
16511	Roseau's	8
394	pretending	10
21890	laughingstock's	15
14248	wagering	8
12344	columnist	9
3264	kingdoms	8
9057	wore	4
23338	entomb	6
11768	storks	6
18685	nightmares	10
460	cablecast's	11
14693	hypotenuse's	12
14907	erode	5
12354	lionesses	9
13129	sews	4
23459	reciprocal	10
9085	stream	6
8806	stadium	7
24508	smartest	8
3806	smell	5
4579	jersey	6
16901	coziest	7
15145	overpay	7
1172	inaction	8
1794	prove	5
17951	disinterring	12
21281	Noreen	6
10207	knapsack	8
8438	minded	6
13498	trademarking	12
18718	Kristy	6
2932	footnote	8
12724	revile	6
24497	thresher's	10
4381	postman	7
8096	tinnier	7
2038	thicket	7
6373	sis's	5
23654	lodgers	7
5287	Paleocene's	11
22029	wanting	7
9553	Negros	6
2173	pleat	5
17890	snifter	7
2902	croupiers	9
14952	epithet's	9
2996	Arno	4
23346	castrating	10
13317	wretch	6
22118	Geronimo	8
19480	cruncher	8
18433	pawpaws	7
17218	candle's	8
14722	mover	5
935	Greensboro	10
3978	propagandizes	13
16805	spiteful	8
18264	Tonia's	7
1972	dunged	6
6697	narrator	8
17039	Re	2
13000	blown	5
13677	casein's	8
16859	cushions	8
23593	immediately	11
20481	Rosenberg	9
22639	heath	5
2433	kismet's	8
14144	Hayworth's	10
8225	ragouts	7
6113	gadded	6
7685	electrocutes	12
11780	bodegas	7
3266	logos	5
1455	kaleidoscope's	14
18050	fracases	8
6997	triumphant	10
19631	Porfirio's	10
4689	head's	6
18724	spinals	7
23027	gismo	5
4881	duckbill	8
22901	moocher's	9
21558	Ruben's	7
24745	brute's	7
13251	Analects's	10
2411	urbanize	8
21657	scandalize	10
21266	Cordilleras	11
3163	freak	5
1519	tiddlywinks	11
2661	defiles	7
3645	tussled	7
19367	misdoings	9
903	Hades's	7
22009	fairground's	12
17029	Ebro	4
13453	unhappiness's	13
16287	prep	4
12107	hotter	6
21866	infrequently	12
8184	reschedules	11
17372	ajar	4
19727	acclimatized	12
3012	mill's	6
14881	porno	5
10715	reciprocals	11
3084	Love's	6
18405	discontented	12
22486	unmaking	8
18294	aspect's	8
1432	Ernest	6
4333	evaporated	10
20508	moralist	8
2026	seclude	7
23606	Turkmenistan's	14
20064	Goddard	7
19144	tweak's	7
24083	Ariadne	7
4987	foam	4
1445	priggish	8
6643	nipping	7
8918	Lao's	5
21202	insomnia	8
5923	George's	8
13933	subtitles	9
18658	bobolinks	9
4004	Sarah	5
20051	hemisphere	10
24128	wordings	8
8754	swayed	6
11983	Canopus	7
9634	pagination	10
10071	kale's	6
4200	homily	6
24500	coronet	7
3892	disapprovingly	14
2540	monolinguals	12
17668	suicides	8
675	shanghai	8
24581	filmmaker	9
1720	disencumber	11
20223	Palomar's	9
19245	spicing	7
3863	Abram's	7
10584	self	4
13742	infants	7
8638	biotechnology	13
13774	sting	5
18585	plebiscites	11
1032	optimums	8
5897	supportive	10
16685	requisitions	12
15281	shoguns	7
19076	personifications	16
5262	sucrose	7
24050	hanger	6
9397	bonnets	7
3539	mirror's	8
21104	choirs	6
7746	pennon's	8
21856	Sardinia	8
8625	reconquer	9
11034	toothsome	9
789	inhabits	8
15323	glamoured	9
12004	systematize	11
13881	Penny's	7
18348	senna	5
18953	falsetto's	10
7318	fling's	7
9016	adjunct	7
4400	shorthand	9
18072	idler	5
8770	admitting	9
8307	chaperon's	10
14228	mudguards	9
5594	Hertz's	7
3175	Presbyterian	12
11213	detour	6
19221	Goldwater	9
15497	bully	5
8720	themes	6
9109	pings	5
19080	muskellunge	11
12750	take	4
9728	dirge's	7
17201	foundry's	9
13994	marathon's	10
20442	Delawares	9
11340	tale	4
15722	iridescence	11
12714	hyphen's	8
12758	bests	5
5084	spatting	8
24494	undignified	11
19205	injudicious	11
23000	realign	7
23146	hymen's	7
2638	vengeance's	11
9110	miscarried	10
7423	virology	8
5339	jape	4
7018	coauthored	10
11890	maddens	7
5643	excrescence	11
10873	splashes	8
5093	grout	5
9143	remanding	9
2640	ineligibles	11
16784	dales	5
13086	ecstatic	8
23035	tollgate	8
24965	scorned	7
24129	Sherpa	6
23026	refurbishment's	15
5665	finisher	8
14606	beginning	9
12881	hygrometers	11
14439	Praia	5
14608	underskirts	11
4330	mistaken	8
5111	uproarious	10
15569	megaphoning	11
24462	untangled	9
4781	Lizzie's	8
359	courtrooms	10
7512	gobbler	7
18757	indistinctly	12
20739	gallows's	9
16863	Svengali	8
868	skittering	10
8458	incorrigibility	15
4698	escapee's	9
16292	grind	5
18583	echo	4
13670	pickled	7
12135	roustabout	10
16376	deathbeds	9
14536	maraca	6
7856	saccharine	10
23278	lubbers	7
9779	conciliates	11
13065	admit	5
22672	dewberry's	10
2284	Greenpeace's	12
2023	seal's	6
3219	pickaxe's	9
11361	feinting	8
17584	spaghetti	9
1462	Sister's	8
14835	cribbage	8
21555	Vlasic's	8
15414	equator	7
15271	inflating	9
734	kroner	6
23914	scrupulously	12
11969	carsickness's	13
22711	Massenet	8
20343	leftie's	8
16297	phonologist's	13
16387	smarmier	8
6249	Gruyeres	8
9560	Iscariot	8
1512	betide	6
13388	Boötes	6
945	triennial's	11
23788	jogger's	8
8947	Wrangell's	10
6284	Herrick	7
8676	veiling	7
11987	saturating	10
21391	Theiler	7
4828	bombard	7
6735	misjudges	9
20964	hearse's	8
5381	Nefertiti	9
14761	tablespoonful's	15
1857	arson	5
8182	sultriest	9
22406	adverbials	10
17453	objective's	11
9089	crasser	7
13278	Hovhaness's	11
9796	infomercials	12
9120	gibbers	7
2885	organizations	13
3272	concocts	8
2232	unseemliest	11
2369	treacheries	11
13023	presents	8
15472	delta's	7
22759	finisher's	10
4327	so's	4
17012	writ	4
24466	imbedded	8
6109	centerpiece	11
12775	unfurling	9
12105	suburbanite's	13
13263	roosters	8
16613	bugling	7
14935	beneficiary	11
14817	flagellation	12
7849	educable	8
2912	variable's	10
17724	vodka	5
3041	bestows	7
24128	pill	4
11769	unkindest	9
10069	abutments	9
